ID	Similarity_User_Ratings	Google_Sense_Desc	Twitter_Sense_Desc	Google_Sense_Label	Twitter_Sense_Label	Google_Sense_Def	Twitter_Sense_Def	Google_Sense_All	Twitter_Sense_All
358	0.30	0.76	0.77	0.51	0.52	0.84	0.88	0.83	0.87
401	0.30	0.52	0.56	0.32	0.52	0.83	0.89	0.82	0.88
448	0.30	0.46	0.56	0.53	0.58	0.82	0.86	0.80	0.85
469	0.30	0.52	0.57	0.35	0.47	0.72	0.80	0.71	0.80
501	0.30	0.56	0.60	0.45	0.67	0.83	0.91	0.83	0.91
20	0.25	0.74	0.73	0.58	0.55	0.89	0.90	0.89	0.90
32	0.25	0.61	0.68	0.40	0.57	0.84	0.91	0.83	0.90
36	0.25	0.61	0.64	0.48	0.50	0.84	0.88	0.83	0.87
79	0.25	0.65	0.61	0.16	0.39	0.74	0.83	0.73	0.84
101	0.25	0.61	0.66	0.30	0.45	0.72	0.82	0.73	0.82
115	0.25	0.59	0.61	0.31	0.36	0.78	0.85	0.78	0.85
143	0.25	0.69	0.72	0.36	0.41	0.75	0.80	0.76	0.80
150	0.25	0.55	0.52	0.27	0.43	0.76	0.82	0.76	0.81
170	0.25	0.50	0.58	0.21	0.29	0.63	0.78	0.62	0.77
183	0.25	0.60	0.59	0.54	0.61	0.86	0.89	0.85	0.88
247	0.25	0.71	0.71	0.35	0.47	0.77	0.83	0.77	0.83
307	0.25	0.54	0.56	0.23	0.32	0.73	0.84	0.72	0.83
383	0.25	0.55	0.59	0.26	0.34	0.70	0.80	0.69	0.79
439	0.25	0.55	0.61	0.28	0.28	0.70	0.82	0.69	0.80
441	0.25	0.65	0.52	0.44	0.42	0.69	0.80	0.70	0.80
500	0.25	0.54	0.59	0.44	0.68	0.79	0.89	0.78	0.89
8	0.20	0.59	0.67	0.41	0.56	0.83	0.90	0.82	0.89
43	0.20	0.62	0.64	0.30	0.49	0.80	0.89	0.79	0.89
69	0.20	0.64	0.71	0.11	0.41	0.71	0.77	0.72	0.78
86	0.20	0.64	0.64	0.17	0.44	0.74	0.83	0.76	0.83
90	0.20	0.54	0.59	0.24	0.39	0.74	0.83	0.73	0.83
119	0.20	0.60	0.67	0.25	0.43	0.73	0.79	0.73	0.81
124	0.20	0.52	0.65	0.19	0.32	0.75	0.82	0.74	0.81
232	0.20	0.61	0.63	0.21	0.23	0.72	0.81	0.72	0.80
283	0.20	0.60	0.59	0.25	0.34	0.73	0.80	0.72	0.79
340	0.20	0.69	0.75	0.45	0.64	0.87	0.93	0.86	0.92
402	0.20	0.69	0.72	0.45	0.60	0.82	0.88	0.81	0.87
411	0.20	0.49	0.58	0.58	0.66	0.84	0.88	0.84	0.88
429	0.20	0.77	0.56	0.46	0.46	0.83	0.86	0.83	0.86
444	0.20	0.63	0.57	0.43	0.41	0.73	0.81	0.74	0.81
450	0.20	0.54	0.52	0.44	0.47	0.79	0.86	0.79	0.85
470	0.20	0.56	0.63	0.23	0.44	0.75	0.85	0.74	0.85
473	0.20	0.51	0.56	0.31	0.43	0.77	0.84	0.76	0.83
474	0.20	0.59	0.59	0.14	0.28	0.80	0.86	0.79	0.85
477	0.20	0.55	0.71	0.17	0.28	0.53	0.67	0.65	0.78
486	0.20	0.62	0.66	0.32	0.46	0.82	0.83	0.81	0.83
173	0.15	0.43	0.48	0.25	0.42	0.75	0.84	0.73	0.83
305	0.15	0.55	0.60	0.43	0.54	0.90	0.94	0.89	0.93
508	0.15	0.58	0.66	0.55	0.64	0.89	0.92	0.88	0.92
4	0.15	0.56	0.56	0.37	0.52	0.78	0.88	0.77	0.87
41	0.15	0.58	0.60	0.27	0.35	0.76	0.85	0.74	0.84
71	0.15	0.56	0.60	0.28	0.36	0.76	0.83	0.76	0.83
121	0.15	0.51	0.58	0.28	0.41	0.75	0.83	0.75	0.83
145	0.15	0.54	0.60	0.20	0.27	0.72	0.84	0.71	0.82
192	0.15	0.44	0.53	0.16	0.21	0.65	0.77	0.64	0.75
311	0.15	0.51	0.59	0.16	0.39	0.66	0.77	0.65	0.77
343	0.15	0.54	0.53	0.32	0.41	0.75	0.82	0.74	0.82
384	0.15	0.63	0.71	0.05	0.21	0.57	0.68	0.68	0.79
386	0.15	0.65	0.61	0.55	0.55	0.87	0.91	0.86	0.91
387	0.15	0.58	0.59	0.19	0.38	0.76	0.81	0.74	0.80
428	0.15	0.66	0.67	0.57	0.62	0.89	0.91	0.88	0.91
430	0.15	0.63	0.71	0.30	0.35	0.83	0.87	0.84	0.87
438	0.15	0.58	0.59	0.55	0.53	0.82	0.88	0.81	0.88
27	0.10	0.59	0.74	0.38	0.44	0.84	0.88	0.82	0.87
38	0.10	0.53	0.53	0.41	0.50	0.72	0.84	0.71	0.83
49	0.10	0.58	0.65	0.26	0.44	0.80	0.89	0.79	0.88
146	0.10	0.57	0.60	0.12	0.25	0.71	0.79	0.71	0.78
187	0.10	0.60	0.55	0.48	0.49	0.80	0.87	0.79	0.85
212	0.10	0.63	0.67	0.21	0.42	0.72	0.80	0.71	0.80
219	0.10	0.41	0.57	0.23	0.31	0.80	0.84	0.78	0.83
228	0.10	0.54	0.57	0.32	0.40	0.73	0.81	0.73	0.80
240	0.10	0.52	0.55	0.42	0.56	0.83	0.91	0.82	0.90
259	0.10	0.62	0.68	0.11	0.23	0.74	0.82	0.74	0.82
273	0.10	0.58	0.67	0.18	0.18	0.76	0.82	0.76	0.81
288	0.10	0.67	0.68	0.15	0.20	0.72	0.79	0.72	0.78
292	0.10	0.39	0.54	0.23	0.31	0.81	0.86	0.80	0.85
313	0.10	0.52	0.62	0.27	0.40	0.69	0.76	0.68	0.76
319	0.10	0.59	0.59	0.23	0.30	0.80	0.87	0.80	0.86
330	0.10	0.64	0.74	0.40	0.58	0.87	0.91	0.86	0.90
364	0.10	0.60	0.60	0.26	0.32	0.70	0.76	0.69	0.76
393	0.10	0.57	0.64	0.17	0.23	0.74	0.81	0.75	0.80
476	0.10	0.61	0.65	0.36	0.53	0.78	0.82	0.77	0.82
481	0.10	0.66	0.65	0.37	0.52	0.71	0.81	0.72	0.81
490	0.10	0.51	0.55	0.28	0.39	0.76	0.85	0.74	0.84
28	0.05	0.52	0.66	0.09	0.32	0.70	0.80	0.68	0.79
29	0.05	0.58	0.68	0.14	0.38	0.71	0.79	0.70	0.78
34	0.05	0.48	0.51	0.28	0.41	0.77	0.87	0.75	0.85
46	0.05	0.63	0.69	0.28	0.47	0.70	0.81	0.70	0.81
82	0.05	0.60	0.64	0.33	0.49	0.83	0.90	0.81	0.89
85	0.05	0.56	0.63	0.24	0.41	0.68	0.83	0.68	0.83
126	0.05	0.62	0.64	0.23	0.36	0.66	0.76	0.65	0.75
142	0.05	0.53	0.62	0.19	0.30	0.79	0.82	0.79	0.82
154	0.05	0.56	0.61	0.28	0.38	0.74	0.82	0.74	0.81
184	0.05	0.66	0.62	0.32	0.37	0.72	0.81	0.73	0.81
216	0.05	0.54	0.51	0.17	0.36	0.81	0.87	0.80	0.86
238	0.05	0.64	0.67	0.20	0.18	0.77	0.83	0.77	0.82
248	0.05	0.50	0.60	0.13	0.18	0.74	0.78	0.73	0.77
256	0.05	0.54	0.61	0.26	0.47	0.80	0.89	0.79	0.88
258	0.05	0.65	0.62	0.12	0.16	0.76	0.76	0.76	0.76
272	0.05	0.55	0.61	0.19	0.33	0.78	0.80	0.76	0.79
285	0.05	0.51	0.58	0.15	0.32	0.73	0.80	0.71	0.79
289	0.05	0.53	0.53	0.34	0.52	0.81	0.90	0.80	0.89
331	0.05	0.55	0.58	0.39	0.57	0.83	0.90	0.82	0.89
359	0.05	0.58	0.63	0.16	0.34	0.68	0.79	0.68	0.78
363	0.05	0.56	0.67	0.13	0.36	0.72	0.82	0.71	0.82
377	0.05	0.59	0.67	0.17	0.22	0.78	0.82	0.77	0.82
379	0.05	0.64	0.71	0.21	0.44	0.79	0.84	0.79	0.86
392	0.05	0.65	0.70	0.15	0.28	0.74	0.78	0.73	0.77
396	0.05	0.52	0.61	0.32	0.52	0.83	0.91	0.82	0.90
397	0.05	0.67	0.70	0.08	0.25	0.68	0.75	0.73	0.79
418	0.05	0.54	0.69	0.19	0.32	0.73	0.80	0.72	0.80
425	0.05	0.66	0.54	0.45	0.41	0.80	0.83	0.81	0.82
443	0.05	0.56	0.62	0.17	0.18	0.72	0.75	0.72	0.75
460	0.05	0.60	0.71	0.10	0.22	0.72	0.80	0.72	0.79
468	0.05	0.63	0.65	0.38	0.51	0.83	0.85	0.82	0.85
495	0.05	0.56	0.60	0.24	0.31	0.74	0.79	0.73	0.78
497	0.05	0.54	0.58	0.37	0.60	0.79	0.89	0.78	0.89
499	0.05	0.63	0.66	0.21	0.29	0.57	0.64	0.60	0.65
504	0.05	0.57	0.64	0.32	0.49	0.83	0.91	0.82	0.90
24	0.00	0.56	0.57	0.33	0.50	0.80	0.89	0.79	0.88
83	0.00	0.53	0.50	0.14	0.27	0.72	0.81	0.69	0.79
88	0.00	0.68	0.69	0.24	0.35	0.72	0.81	0.71	0.80
135	0.00	0.57	0.62	0.11	0.24	0.72	0.77	0.71	0.76
208	0.00	0.58	0.56	0.16	0.32	0.72	0.82	0.69	0.80
217	0.00	0.66	0.69	0.19	0.42	0.81	0.87	0.80	0.86
243	0.00	0.59	0.66	0.31	0.45	0.71	0.82	0.72	0.82
251	0.00	0.39	0.40	0.14	0.26	0.72	0.82	0.69	0.79
267	0.00	0.57	0.59	0.23	0.23	0.82	0.83	0.81	0.81
297	0.00	0.53	0.52	0.33	0.37	0.73	0.81	0.72	0.79
315	0.00	0.62	0.74	0.15	0.38	0.63	0.77	0.63	0.77
337	0.00	0.59	0.59	0.19	0.27	0.80	0.87	0.79	0.86
355	0.00	0.65	0.60	0.45	0.46	0.84	0.89	0.84	0.88
368	0.00	0.63	0.65	0.33	0.53	0.80	0.89	0.78	0.88
382	0.00	0.58	0.67	0.29	0.47	0.71	0.79	0.70	0.79
388	0.00	0.51	0.57	0.41	0.55	0.79	0.86	0.78	0.85
403	0.00	0.57	0.63	0.39	0.53	0.85	0.91	0.84	0.90
407	0.00	0.61	0.68	0.11	0.39	0.75	0.80	0.75	0.82
415	0.00	0.67	0.68	0.26	0.40	0.70	0.79	0.71	0.79
436	0.00	0.59	0.55	0.41	0.43	0.77	0.83	0.77	0.83
451	0.00	0.48	0.49	0.14	0.27	0.70	0.81	0.67	0.79
453	0.00	0.57	0.58	0.45	0.56	0.92	0.93	0.91	0.91
459	0.00	0.56	0.64	0.21	0.49	0.74	0.85	0.73	0.85
463	0.00	0.58	0.73	0.27	0.45	0.70	0.80	0.69	0.80
464	0.00	0.59	0.65	0.29	0.47	0.81	0.85	0.81	0.86
471	0.00	0.53	0.54	0.33	0.47	0.79	0.84	0.78	0.83
480	0.00	0.84	0.84	0.15	0.31	0.73	0.82	0.71	0.81
482	0.00	0.45	0.51	0.11	0.23	0.65	0.78	0.62	0.76
487	0.00	0.62	0.65	0.32	0.58	0.85	0.91	0.84	0.91
489	0.00	0.61	0.65	0.30	0.56	0.84	0.91	0.84	0.90
491	0.00	0.62	0.64	0.32	0.60	0.84	0.91	0.83	0.91
