ISO 639-3	ISO 639-2	ISO 639-1	Language Name
cie			Cineni
cih			Chinali
cik			Chitkuli Kinnauri
cim			Cimbrian
cin			Cinta Larga
cip			Chiapanec
cir			Tiri
ciw			Chippewa
ciy			Chaima
cja			Western Cham
cje			Chru
cjh			Upper Chehalis
cji			Chamalal
cjk			Chokwe
cjm			Eastern Cham
cjn			Chenapian
cjo			Ashéninka Pajonal
cjp			Cabécar
cjs			Shor
cjv			Chuave
cjy			Jinyu Chinese
cka			Khumi Awa Chin
ckb			Central Kurdish
ckh			Chak
ckl			Cibak
cko			Anufo
ckq			Kajakse
ckr			Kairak
cks			Tayo
ckt			Chukot
cku			Koasati
ckv			Kavalan
ckx			Caka
cky			Cakfem-Mushere
ckz			Cakchiquel-Quiché Mixed Language
cla			Ron
clc			Chilcotin
cld			Chaldean Neo-Aramaic
cle			Lealao Chinantec
clh			Chilisso
cli			Chakali
clk			Idu-Mishmi
cll			Chala
clm			Clallam
clo			Lowland Oaxaca Chontal
clu			Caluyanun
clw			Chulym
cly			Eastern Highland Chatino
cma			Maa
cme			Cerma
cmg			Classical Mongolian
cmi			Emberá-Chamí
cml			Campalagian
cmm			Michigamea
cmn			Mandarin Chinese
cmo			Central Mnong
cmr			Mro Chin
cms			Messapic
cmt			Camtho
cna			Changthang
cnb			Chinbon Chin
cnc			Côông
cng			Northern Qiang
cnh			Haka Chin
cni			Asháninka
cnk			Khumi Chin
cnl			Lalana Chinantec
cno			Con
cns			Central Asmat
cnt			Tepetotutla Chinantec
cnu			Chenoua
cnw			Ngawn Chin
cnx			Middle Cornish
coa			Cocos Islands Malay
cob			Chicomuceltec
coc			Cocopa
cod			Cocama-Cocamilla
coe			Koreguaje
cof			Colorado
cog			Chong
coh			Chonyi-Dzihana-Kauma
coj			Cochimi
cok			Santa Teresa Cora
col			Columbia-Wenatchi
com			Comanche
con			Cofán
coo			Comox
cop	cop		Coptic
coq			Coquille
cor	cor	kw	Cornish
cos	cos	co	Corsican
cot			Caquinte
cou			Wamey
cov			Cao Miao
cow			Cowlitz
cox			Nanti
coy			Coyaima
coz			Chochotec
cpa			Palantla Chinantec
cpb			Ucayali-Yurúa Ashéninka
cpc			Ajyíninka Apurucayali
cpg			Cappadocian Greek
cpi			Chinese Pidgin English
cpn			Cherepon
cps			Capiznon
cpu			Pichis Ashéninka
cpx			Pu-Xian Chinese
cpy			South Ucayali Ashéninka
cqd			Chuanqiandian Cluster Miao
cqu			Chilean Quechua
cra			Chara
crb			Island Carib
crc			Lonwolwol
crd			Coeur d'Alene
cre	cre	cr	Cree
crf			Caramanta
crg			Michif
crh	crh		Crimean Tatar
cri			Sãotomense
crj			Southern East Cree
crk			Plains Cree
crl			Northern East Cree
crm			Moose Cree
crn			El Nayar Cora
cro			Crow
crq			Iyo'wujwa Chorote
crr			Carolina Algonquian
crs			Seselwa Creole French
crt			Iyojwa'ja Chorote
crv			Chaura
crw			Chrau
crx			Carrier
cry			Cori
crz			Cruzeño
csa			Chiltepec Chinantec
csb	csb		Kashubian
csc			Catalan Sign Language
csd			Chiangmai Sign Language
cse			Czech Sign Language
csf			Cuba Sign Language
csg			Chilean Sign Language
csh			Asho Chin
csi			Coast Miwok
csk			Jola-Kasa
csl			Chinese Sign Language
csm			Central Sierra Miwok
csn			Colombian Sign Language
cso			Sochiapam Chinantec
csq			Croatia Sign Language
csr			Costa Rican Sign Language
css			Southern Ohlone
cst			Northern Ohlone
csw			Swampy Cree
csy			Siyin Chin
csz			Coos
cta			Tataltepec Chatino
ctc			Chetco
ctd			Tedim Chin
cte			Tepinapa Chinantec
ctg			Chittagonian
ctl			Tlacoatzintepec Chinantec
ctm			Chitimacha
ctn			Chhintange
cto			Emberá-Catío
ctp			Western Highland Chatino
cts			Northern Catanduanes Bicolano
ctt			Wayanad Chetti
ctu			Chol
ctz			Zacatepec Chatino
cua			Cua
cub			Cubeo
cuc			Usila Chinantec
cug			Cung
cuh			Chuka
cui			Cuiba
cuj			Mashco Piro
cuk			San Blas Kuna
cul			Culina
cum			Cumeral
cuo			Cumanagoto
cup			Cupeño
cuq			Cun
cur			Chhulung
cut			Teutila Cuicatec
cuu			Tai Ya
cuv			Cuvok
cuw			Chukwa
cux			Tepeuxila Cuicatec
cvg			Chug
cvn			Valle Nacional Chinantec
cwa			Kabwa
cwb			Maindo
cwd			Woods Cree
cwe			Kwere
cwg			Chewong
cwt			Kuwaataay
cya			Nopala Chatino
cyb			Cayubaba
cym	cym / wel* 	cy	Welsh
cyo			Cuyonon
czh			Huizhou Chinese
czk			Knaanic
czn			Zenzontepec Chatino
czo			Min Zhong Chinese
czt			Zotung Chin
daa			Dangaléat
dac			Dambi
dad			Marik
dae			Duupa
daf			Dan
dag			Dagbani
dah			Gwahatike
dai			Day
daj			Dar Fur Daju
dak	dak		Dakota
dal			Dahalo
dam			Damakawa
dan	dan	da	Danish
dao			Daai Chin
dap			Nisi (India)
daq			Dandami Maria
dar	dar		Dargwa
das			Daho-Doo
dau			Dar Sila Daju
dav			Taita
daw			Davawenyo
dax			Dayi
daz			Dao
dba			Bangi Me
dbb			Deno
dbd			Dadiya
dbe			Dabe
dbf			Edopi
dbg			Dogul Dom Dogon
dbi			Doka
dbj			Ida'an
dbl			Dyirbal
dbm			Duguri
dbn			Duriankere
dbo			Dulbu
dbp			Duwai
dbq			Daba
dbr			Dabarre
dbu			Bondum Dom Dogon
dbv			Dungu
dby			Dibiyaso
dcc			Deccan
dcr			Negerhollands
ddd			Dongotono
dde			Doondo
ddg			Fataluku
ddi			West Goodenough
ddj			Jaru
ddn			Dendi (Benin)
ddo			Dido
dds			Donno So Dogon
ddw			Dawera-Daweloor
dec			Dagik
ded			Dedua
dee			Dewoin
def			Dezfuli
deg			Degema
deh			Dehwari
dei			Demisa
dek			Dek
del	del		Delaware
dem			Dem
den	den		Slave (Athapascan)
dep			Pidgin Delaware
deq			Dendi (Central African Republic)
der			Deori
des			Desano
deu	deu / ger* 	de	German
dev			Domung
dez			Dengese
dga			Southern Dagaare
dgb			Bunoge Dogon
dgc			Casiguran Dumagat Agta
dgd			Dagaari Dioula
dge			Degenan
dgg			Doga
dgh			Dghwede
dgi			Northern Dagara
dgk			Dagba
dgn			Dagoman
dgo			Dogri (individual language)
dgr	dgr		Dogrib
dgs			Dogoso
dgu			Degaru
dgx			Doghoro
dgz			Daga
dha			Dhanwar (India)
dhd			Dhundari
dhg			Dhangu
dhi			Dhimal
dhl			Dhalandji
dhm			Zemba
dhn			Dhanki
dho			Dhodia
dhr			Dhargari
dhs			Dhaiso
dhu			Dhurga
dhv			Dehu
dhw			Dhanwar (Nepal)
dia			Dia
dib			South Central Dinka
dic			Lakota Dida
did			Didinga
dif			Dieri
dig			Digo
dih			Kumiai
dii			Dimbong
dij			Dai
dik			Southwestern Dinka
dil			Dilling
dim			Dime
din	din		Dinka
dio			Dibo
dip			Northeastern Dinka
diq			Dimli (individual language)
dir			Dirim
dis			Dimasa
dit			Dirari
diu			Diriku
div	div	dv	Dhivehi
diw			Northwestern Dinka
dix			Dixon Reef
diy			Diuwe
diz			Ding
djb			Djinba
djc			Dar Daju Daju
djd			Djamindjung
dje			Zarma
djf			Djangun
dji			Djinang
djj			Djeebbana
djk			Eastern Maroon Creole
djl			Djiwarli
djm			Jamsay Dogon
djn			Djauan
djo			Jangkang
djr			Djambarrpuyngu
dju			Kapriman
djw			Djawi
dka			Dakpakha
dkk			Dakka
dkl			Kolum So Dogon
dkr			Kuijau
dks			Southeastern Dinka
dkx			Mazagway
dlg			Dolgan
dlm			Dalmatian
dln			Darlong
dma			Duma
dmc			Dimir
dme			Dugwor
dmg			Upper Kinabatangan
dmk			Domaaki
dml			Dameli
dmm			Dama
dmo			Kemezung
dmr			East Damar
dms			Dampelas
dmu			Dubu
dmv			Dumpas
dmx			Dema
dmy			Demta
dna			Upper Grand Valley Dani
dnd			Daonda
dne			Ndendeule
dng			Dungan
dni			Lower Grand Valley Dani
dnk			Dengka
dnn			Dzùùngoo
dnr			Danaru
dnt			Mid Grand Valley Dani
dnu			Danau
dnw			Western Dani
dny			Dení
doa			Dom
dob			Dobu
doc			Northern Dong
doe			Doe
dof			Domu
doh			Dong
doi	doi		Dogri (macrolanguage)
dok			Dondo
dol			Doso
don			Toura (Papua New Guinea)
doo			Dongo
dop			Lukpa
doq			Dominican Sign Language
dor			Dori'o
dos			Dogosé
dot			Dass
dov			Dombe
dow			Doyayo
dox			Bussa
doy			Dompo
doz			Dorze
dpp			Papar
drb			Dair
drd			Darmiya
dre			Dolpo
drg			Rungus
dri			C'lela
drl			Darling
drn			West Damar
dro			Daro-Matu Melanau
drq			Dura
drr			Dororo
drs			Gedeo
drt			Drents
dru			Rukai
dry			Darai
dsb	dsb		Lower Sorbian
dse			Dutch Sign Language
dsh			Daasanach
dsi			Disa
dsl			Danish Sign Language
dsn			Dusner
dso			Desiya
dsq			Tadaksahak
dta			Daur
dtb			Labuk-Kinabatangan Kadazan
dti			Ana Tinga Dogon
dtk			Tene Kan Dogon
dtm			Tomo Kan Dogon
dtp			Central Dusun
dtr			Lotud
dts			Toro So Dogon
dtt			Toro Tegu Dogon
dtu			Tebul Ure Dogon
dua	dua		Duala
dub			Dubli
duc			Duna
dud			Hun-Saare
due			Umiray Dumaget Agta
duf			Dumbea
dug			Duruma
duh			Dungra Bhil
dui			Dumun
duj			Dhuwal
duk			Duduela
dul			Alabat Island Agta
dum	dum		Middle Dutch (ca. 1050-1350)
dun			Dusun Deyah
duo			Dupaninan Agta
dup			Duano
duq			Dusun Malang
dur			Dii
dus			Dumi
duu			Drung
duv			Duvle
duw			Dusun Witu
dux			Duungooma
duy			Dicamay Agta
duz			Duli
dva			Duau
dwa			Diri
dwl			Walo Kumbe Dogon
dwr			Dawro
dws			Dutton World Speedwords
dww			Dawawa
dya			Dyan
dyb			Dyaberdyaber
dyd			Dyugun
dyg			Villa Viciosa Agta
dyi			Djimini Senoufo
dym			Yanda Dom Dogon
dyn			Dyangadi
dyo			Jola-Fonyi
dyu	dyu		Dyula
dyy			Dyaabugay
dza			Tunzu
dzd			Daza
dzg			Dazaga
dzl			Dzalakha
dzn			Dzando
dzo	dzo	dz	Dzongkha
ebg			Ebughu
ebk			Eastern Bontok
ebo			Teke-Ebo
ebr			Ebrié
ebu			Embu
ecr			Eteocretan
ecs			Ecuadorian Sign Language
ecy			Eteocypriot
eee			E
efa			Efai
efe			Efe
efi	efi		Efik
ega			Ega
egl			Emilian
ego			Eggon
egy	egy		Egyptian (Ancient)
ehu			Ehueun
eip			Eipomek
eit			Eitiep
eiv			Askopan
eja			Ejamat
eka	eka		Ekajuk
eke			Ekit
ekg			Ekari
eki			Eki
ekk			Standard Estonian
ekl			Kol
ekm			Elip
eko			Koti
ekp			Ekpeye
ekr			Yace
eky			Eastern Kayah
ele			Elepi
elh			El Hugeirat
eli			Nding
elk			Elkei
ell	ell / gre* 	el	Modern Greek (1453-)
elm			Eleme
elo			El Molo
elp			Elpaputih
elu			Elu
elx	elx		Elamite
ema			Emai-Iuleha-Ora
emb			Embaloh
eme			Emerillon
emg			Eastern Meohang
emi			Mussau-Emira
emk			Eastern Maninkakan
emm			Mamulique
emn			Eman
emo			Emok
emp			Northern Emberá
ems			Pacific Gulf Yupik
emu			Eastern Muria
emw			Emplawas
emx			Erromintxela
emy			Epigraphic Mayan
ena			Apali
enb			Markweeta
enc			En
end			Ende
enf			Forest Enets
eng	eng	en	English
enh			Tundra Enets
enm	enm		Middle English (1100-1500)
enn			Engenni
eno			Enggano
enq			Enga
enr			Emumu
enu			Enu
env			Enwan (Edu State)
enw			Enwan (Akwa Ibom State)
eot			Beti (Côte d'Ivoire)
epi			Epie
epo	epo	eo	Esperanto
era			Eravallan
erg			Sie
erh			Eruwa
eri			Ogea
erk			South Efate
ero			Horpa
err			Erre
ers			Ersu
ert			Eritai
erw			Erokwanas
ese			Ese Ejja
esh			Eshtehardi
esi			North Alaskan Inupiatun
esk			Northwest Alaska Inupiatun
esl			Egypt Sign Language
esm			Esuma
esn			Salvadoran Sign Language
eso			Estonian Sign Language
esq			Esselen
ess			Central Siberian Yupik
est	est	et	Estonian
esu			Central Yupik
etb			Etebi
etc			Etchemin
eth			Ethiopian Sign Language
etn			Eton (Vanuatu)
eto			Eton (Cameroon)
etr			Edolo
ets			Yekhee
ett			Etruscan
etu			Ejagham
etx			Eten
etz			Semimi
eus	eus / baq* 	eu	Basque
eve			Even
evh			Uvbie
evn			Evenki
ewe	ewe	ee	Ewe
ewo	ewo		Ewondo
ext			Extremaduran
eya			Eyak
eyo			Keiyo
eze			Uzekwe
faa			Fasu
fab			Fa D'ambu
fad			Wagi
faf			Fagani
fag			Finongan
fah			Baissa Fali
fai			Faiwol
faj			Faita
fak			Fang (Cameroon)
fal			South Fali
fam			Fam
fan	fan		Fang (Equatorial Guinea)
fao	fao	fo	Faroese
fap			Palor
far			Fataleka
fas	fas / per* 	fa	Persian
fat	fat		Fanti
fau			Fayu
fax			Fala
fay			Southwestern Fars
faz			Northwestern Fars
fbl			West Albay Bikol
fcs			Quebec Sign Language
fer			Feroge
ffi			Foia Foia
ffm			Maasina Fulfulde
fgr			Fongoro
fia			Nobiin
fie			Fyer
fij	fij	fj	Fijian
fil	fil		Filipino
fin	fin	fi	Finnish
fip			Fipa
fir			Firan
fit			Tornedalen Finnish
fiw			Fiwaga
fkv			Kven Finnish
fla			Kalispel-Pend d'Oreille
flh			Foau
fli			Fali
fll			North Fali
fln			Flinders Island
flr			Fuliiru
fly			Tsotsitaal
fmp			Fe'fe'
fmu			Far Western Muria
fng			Fanagalo
fni			Fania
fod			Foodo
foi			Foi
fom			Foma
fon	fon		Fon
for			Fore
fos			Siraya
fpe			Fernando Po Creole English
fqs			Fas
fra	fra / fre* 	fr	French
frc			Cajun French
frd			Fordata
frk			Frankish
frm	frm		Middle French (ca. 1400-1600)
fro	fro		Old French (842-ca. 1400)
frp			Arpitan
frq			Forak
frr			Northern Frisian
frs	frs		Eastern Frisian
frt			Fortsenal
fry	fry	fy	Western Frisian
fse			Finnish Sign Language
fsl			French Sign Language
fss			Finland-Swedish Sign Language
fub			Adamawa Fulfulde
fuc			Pulaar
fud			East Futuna
fue			Borgu Fulfulde
fuf			Pular
fuh			Western Niger Fulfulde
fui			Bagirmi Fulfulde
fuj			Ko
ful	ful	ff	Fulah
fum			Fum
fun			Fulniô
fuq			Central-Eastern Niger Fulfulde
fur	fur		Friulian
fut			Futuna-Aniwa
fuu			Furu
fuv			Nigerian Fulfulde
fuy			Fuyug
fvr			Fur
fwa			Fwâi
fwe			Fwe
gaa	gaa		Ga
gab			Gabri
gac			Mixed Great Andamanese
gad			Gaddang
gae			Guarequena
gaf			Gende
gag			Gagauz
gah			Alekano
gai			Borei
gaj			Gadsup
gak			Gamkonora
gal			Galoli
gam			Kandawo
gan			Gan Chinese
gao			Gants
gap			Gal
gaq			Gata'
gar			Galeya
gas			Adiwasi Garasia
gat			Kenati
gau			Mudhili Gadaba
gaw			Nobonob
gax			Borana-Arsi-Guji Oromo
gay	gay		Gayo
gaz			West Central Oromo
gba	gba		Gbaya (Central African Republic)
gbb			Kaytetye
gbc			Garawa
gbd			Karadjeri
gbe			Niksek
gbf			Gaikundi
gbg			Gbanziri
gbh			Defi Gbe
gbi			Galela
gbj			Bodo Gadaba
gbk			Gaddi
gbl			Gamit
gbm			Garhwali
gbn			Mo'da
gbo			Northern Grebo
gbp			Gbaya-Bossangoa
gbq			Gbaya-Bozoum
gbr			Gbagyi
gbs			Gbesi Gbe
gbu			Gagadu
gbv			Gbanu
gbx			Eastern Xwla Gbe
gby			Gbari
gbz			Zoroastrian Dari
gcc			Mali
gcd			Ganggalida
gce			Galice
gcf			Guadeloupean Creole French
gcl			Grenadian Creole English
gcn			Gaina
gcr			Guianese Creole French
gct			Colonia Tovar German
gda			Gade Lohar
gdb			Pottangi Ollar Gadaba
gdc			Gugu Badhun
gdd			Gedaged
gde			Gude
gdf			Guduf-Gava
gdg			Ga'dang
gdh			Gadjerawang
gdi			Gundi
gdj			Gurdjar
gdk			Gadang
gdl			Dirasha
gdm			Laal
gdn			Umanakaina
gdo			Ghodoberi
gdq			Mehri
gdr			Wipi
gdu			Gudu
gdx			Godwari
gea			Geruma
geb			Kire
gec			Gboloo Grebo
ged			Gade
geg			Gengle
geh			Hutterite German
gei			Gebe
gej			Gen
gek			Yiwom
gel			Kag-Fer-Jiir-Koor-Ror-Us-Zuksun
geq			Geme
ges			Geser-Gorom
gew			Gera
gex			Garre
gey			Enya
gez	gez		Geez
gfk			Patpatar
gft			Gafat
gga			Gao
ggb			Gbii
ggd			Gugadj
gge			Guragone
ggg			Gurgula
ggk			Kungarakany
ggl			Ganglau
ggn			Eastern Gurung
ggo			Southern Gondi
ggr			Aghu Tharnggalu
ggt			Gitua
ggu			Gagu
ggw			Gogodala
gha			Ghadamès
ghc			Hiberno-Scottish Gaelic
ghe			Southern Ghale
ghh			Northern Ghale
ghk			Geko Karen
ghl			Ghulfan
ghn			Ghanongga
gho			Ghomara
ghr			Ghera
ghs			Guhu-Samane
ght			Kutang Ghale
gia			Kitja
gib			Gibanawa
gic			Gail
gid			Gidar
gig			Goaria
gil	gil		Gilbertese
gim			Gimi (Eastern Highlands)
gin			Hinukh
gio			Gelao
gip			Gimi (West New Britain)
giq			Green Gelao
gir			Red Gelao
gis			North Giziga
git			Gitxsan
giw			White Gelao
gix			Gilima
giy			Giyug
giz			South Giziga
gji			Geji
gjk			Kachi Koli
gjn			Gonja
gju			Gujari
gka			Guya
gke			Ndai
gkn			Gokana
gkp			Guinea Kpelle
gla	gla	gd	Scottish Gaelic
glc			Bon Gula
gld			Nanai
gle	gle	ga	Irish
glg	glg	gl	Galician
glh			Northwest Pashayi
gli			Guliguli
glj			Gula Iro
glk			Gilaki
glo			Galambu
glr			Glaro-Twabo
glu			Gula (Chad)
glv	glv	gv	Manx
glw			Glavda
gly			Gule
gma			Gambera
gmb			Gula'alaa
gmd			Mághdì
gmh	gmh		Middle High German (ca. 1050-1500)
gml			Middle Low German
gmm			Gbaya-Mbodomo
gmn			Gimnime
gmu			Gumalu
gmv			Gamo
gmx			Magoma
gmy			Mycenaean Greek
gna			Kaansa
gnb			Gangte
gnc			Guanche
gnd			Zulgo-Gemzek
gne			Ganang
gng			Ngangam
gnh			Lere
gni			Gooniyandi
gnk			//Gana
gnl			Gangulu
gnm			Ginuman
gnn			Gumatj
gno			Northern Gondi
gnq			Gana
gnr			Gureng Gureng
gnt			Guntai
gnu			Gnau
gnw			Western Bolivian Guaraní
gnz			Ganzi
goa			Guro
gob			Playero
goc			Gorakor
god			Godié
goe			Gongduk
gof			Gofa
gog			Gogo
goh	goh		Old High German (ca. 750-1050)
goi			Gobasi
goj			Gowlan
gok			Gowli
gol			Gola
gom			Goan Konkani
gon	gon		Gondi
goo			Gone Dau
gop			Yeretuar
goq			Gorap
gor	gor		Gorontalo
gos			Gronings
got	got		Gothic
gou			Gavar
gow			Gorowa
gox			Gobu
goy			Goundo
goz			Gozarkhani
gpa			Gupa-Abawa
gpn			Taiap
gqa			Ga'anda
gqi			Guiqiong
gqn			Guana (Brazil)
gqr			Gor
gra			Rajput Garasia
grb	grb		Grebo
grc	grc		Ancient Greek (to 1453)
grd			Guruntum-Mbaaru
grg			Madi
grh			Gbiri-Niragu
gri			Ghari
grj			Southern Grebo
grm			Kota Marudu Talantang
grn	grn	gn	Guarani
gro			Groma
grq			Gorovu
grr			Taznatit
grs			Gresi
grt			Garo
gru			Kistane
grv			Central Grebo
grw			Gweda
grx			Guriaso
gry			Barclayville Grebo
grz			Guramalum
gse			Ghanaian Sign Language
gsg			German Sign Language
gsl			Gusilay
gsm			Guatemalan Sign Language
gsn			Gusan
gso			Southwest Gbaya
gsp			Wasembo
gss			Greek Sign Language
gsw	gsw		Swiss German
gta			Guató
gti			Gbati-ri
gua			Shiki
gub			Guajajára
guc			Wayuu
gud			Yocoboué Dida
gue			Gurinji
guf			Gupapuyngu
gug			Paraguayan Guaraní
guh			Guahibo
gui			Eastern Bolivian Guaraní
guj	guj	gu	Gujarati
guk			Gumuz
gul			Sea Island Creole English
gum			Guambiano
gun			Mbyá Guaraní
guo			Guayabero
gup			Gunwinggu
guq			Aché
gur			Farefare
gus			Guinean Sign Language
gut			Maléku Jaíka
guu			Yanomamö
guv			Gey
guw			Gun
gux			Gourmanchéma
guz			Gusii
gva			Guana (Paraguay)
gvc			Guanano
gve			Duwet
gvf			Golin
gvj			Guajá
gvl			Gulay
gvm			Gurmana
gvn			Kuku-Yalanji
gvo			Gavião Do Jiparaná
gvp			Pará Gavião
gvr			Western Gurung
gvs			Gumawana
gvy			Guyani
gwa			Mbato
gwb			Gwa
gwc			Kalami
gwd			Gawwada
gwe			Gweno
gwf			Gowro
gwg			Moo
gwi	gwi		Gwichʼin
gwj			/Gwi
gwn			Gwandara
gwr			Gwere
gwt			Gawar-Bati
gwu			Guwamu
gww			Kwini
gwx			Gua
gxx			Wè Southern
gya			Northwest Gbaya
gyb			Garus
gyd			Kayardild
gye			Gyem
gyf			Gungabula
gyg			Gbayi
gyi			Gyele
gyl			Gayil
gym			Ngäbere
gyn			Guyanese Creole English
gyr			Guarayu
gyy			Gunya
gza			Ganza
gzi			Gazi
gzn			Gane
haa			Han
hab			Hanoi Sign Language
hac			Gurani
had			Hatam
hae			Eastern Oromo
haf			Haiphong Sign Language
hag			Hanga
hah			Hahon
hai	hai		Haida
haj			Hajong
hak			Hakka Chinese
hal			Halang
ham			Hewa
han			Hangaza
hao			Hakö
hap			Hupla
haq			Ha
har			Harari
has			Haisla
hat	hat	ht	Haitian
hau	hau	ha	Hausa
hav			Havu
haw	haw		Hawaiian
hax			Southern Haida
hay			Haya
haz			Hazaragi
hba			Hamba
hbb			Huba
hbn			Heiban
hbo			Ancient Hebrew
hbs		sh	Serbo-Croatian
hbu			Habu
hca			Andaman Creole Hindi
hch			Huichol
hdn			Northern Haida
hds			Honduras Sign Language
hdy			Hadiyya
hea			Northern Qiandong Miao
heb	heb	he	Hebrew
hed			Herdé
heg			Helong
heh			Hehe
hei			Heiltsuk
hem			Hemba
her	her	hz	Herero
hgm			Hai//om
hgw			Haigwai
hhi			Hoia Hoia
hhr			Kerak
hhy			Hoyahoya
hia			Lamang
hib			Hibito
hid			Hidatsa
hif			Fiji Hindi
hig			Kamwe
hih			Pamosu
hii			Hinduri
hij			Hijuk
hik			Seit-Kaitetu
hil	hil		Hiligaynon
hin	hin	hi	Hindi
hio			Tsoa
hir			Himarimã
hit	hit		Hittite
hiw			Hiw
hix			Hixkaryána
hji			Haji
hka			Kahe
hke			Hunde
hkk			Hunjara-Kaina Ke
hks			Hong Kong Sign Language
hla			Halia
hlb			Halbi
hld			Halang Doan
hle			Hlersu
hlt			Nga La
hlu			Hieroglyphic Luwian
hma			Southern Mashan Hmong
hmb			Humburi Senni Songhay
hmc			Central Huishui Hmong
hmd			Large Flowery Miao
hme			Eastern Huishui Hmong
hmf			Hmong Don
hmg			Southwestern Guiyang Hmong
hmh			Southwestern Huishui Hmong
hmi			Northern Huishui Hmong
hmj			Ge
hmk			Maek
hml			Luopohe Hmong
hmm			Central Mashan Hmong
hmn	hmn		Hmong
hmo	hmo	ho	Hiri Motu
hmp			Northern Mashan Hmong
hmq			Eastern Qiandong Miao
hmr			Hmar
hms			Southern Qiandong Miao
hmt			Hamtai
hmu			Hamap
hmv			Hmong Dô
hmw			Western Mashan Hmong
hmy			Southern Guiyang Hmong
hmz			Hmong Shua
hna			Mina (Cameroon)
hnd			Southern Hindko
hne			Chhattisgarhi
hnh			//Ani
hni			Hani
hnj			Hmong Njua
hnn			Hanunoo
hno			Northern Hindko
hns			Caribbean Hindustani
hnu			Hung
hoa			Hoava
hob			Mari (Madang Province)
hoc			Ho
hod			Holma
hoe			Horom
hoh			Hobyót
hoi			Holikachuk
hoj			Hadothi
hol			Holu
hom			Homa
hoo			Holoholo
hop			Hopi
hor			Horo
hos			Ho Chi Minh City Sign Language
hot			Hote
hov			Hovongan
how			Honi
hoy			Holiya
hoz			Hozo
hpo			Hpon
hps			Hawai'i Pidgin Sign Language
hra			Hrangkhol
hre			Hre
hrk			Haruku
hrm			Horned Miao
hro			Haroi
hrr			Horuru
hrt			Hértevin
hru			Hruso
hrv	hrv	hr	Croatian
hrx			Hunsrik
hrz			Harzani
hsb	hsb		Upper Sorbian
hsh			Hungarian Sign Language
hsl			Hausa Sign Language
hsn			Xiang Chinese
hss			Harsusi
hti			Hoti
hto			Minica Huitoto
hts			Hadza
htu			Hitu
htx			Middle Hittite
hub			Huambisa
huc			=/Hua
hud			Huaulu
hue			San Francisco Del Mar Huave
huf			Humene
hug			Huachipaeri
huh			Huilliche
hui			Huli
huj			Northern Guiyang Hmong
huk			Hulung
hul			Hula
hum			Hungana
hun	hun	hu	Hungarian
huo			Hu
hup	hup		Hupa
huq			Tsat
hur			Halkomelem
hus			Huastec
hut			Humla
huu			Murui Huitoto
huv			San Mateo Del Mar Huave
huw			Hukumina
hux			Nüpode Huitoto
huy			Hulaulá
huz			Hunzib
hvc			Haitian Vodoun Culture Language
hve			San Dionisio Del Mar Huave
hvk			Haveke
hvn			Sabu
hvv			Santa María Del Mar Huave
hwa			Wané
hwc			Hawai'i Creole English
hwo			Hwana
hya			Hya
hye	hye / arm* 	hy	Armenian
iai			Iaai
ian			Iatmul
iap			Iapama
iar			Purari
iba	iba		Iban
ibb			Ibibio
ibd			Iwaidja
ibe			Akpes
ibg			Ibanag
ibi			Ibilo
ibl			Ibaloi
ibm			Agoi
ibn			Ibino
ibo	ibo	ig	Igbo
ibr			Ibuoro
ibu			Ibu
iby			Ibani
ica			Ede Ica
ich			Etkywan
icl			Icelandic Sign Language
icr			Islander Creole English
ida			Idakho-Isukha-Tiriki
idb			Indo-Portuguese
idc			Idon
idd			Ede Idaca
ide			Idere
idi			Idi
ido	ido	io	Ido
idr			Indri
ids			Idesa
idt			Idaté
idu			Idoma
ifa			Amganad Ifugao
ifb			Batad Ifugao
ife			Ifè
iff			Ifo
ifk			Tuwali Ifugao
ifm			Teke-Fuumu
ifu			Mayoyao Ifugao
ify			Keley-I Kallahan
igb			Ebira
ige			Igede
igg			Igana
igl			Igala
igm			Kanggape
ign			Ignaciano
igo			Isebe
igs			Interglossa
igw			Igwe
ihb			Iha Based Pidgin
ihi			Ihievbe
ihp			Iha
iii	iii	ii	Sichuan Yi
ijc			Izon
ije			Biseni
ijj			Ede Ije
ijn			Kalabari
ijs			Southeast Ijo
ike			Eastern Canadian Inuktitut
iki			Iko
ikk			Ika
ikl			Ikulu
iko			Olulumo-Ikom
ikp			Ikpeshi
ikt			Western Canadian Inuktitut
iku	iku	iu	Inuktitut
ikv			Iku-Gora-Ankwa
ikw			Ikwere
ikx			Ik
ikz			Ikizu
ila			Ile Ape
ilb			Ila
ile	ile	ie	Interlingue
ilg			Garig-Ilgar
ili			Ili Turki
ilk			Ilongot
ill			Iranun
ilo	ilo		Iloko
ils			International Sign
ilu			Ili'uun
ilv			Ilue
ilw			Talur
ima			Mala Malasar
ime			Imeraguen
imi			Anamgura
iml			Miluk
imn			Imonda
imo			Imbongu
imr			Imroing
ims			Marsian
imy			Milyan
ina	ina	ia	Interlingua (International Auxiliary Language Association)
inb			Inga
ind	ind	id	Indonesian
ing			Degexit'an
inh	inh		Ingush
inj			Jungle Inga
inl			Indonesian Sign Language
inm			Minaean
inn			Isinai
ino			Inoke-Yate
inp			Iñapari
ins			Indian Sign Language
int			Intha
inz			Ineseño
ior			Inor
iou			Tuma-Irumu
iow			Iowa-Oto
ipi			Ipili
ipk	ipk	ik	Inupiaq
ipo			Ipiko
iqu			Iquito
ire			Iresim
