word1	word2	POS	SimLex999	conc(w1)	conc(w2)	concQ	Assoc(USF)	SimAssoc333	SD(SimLex)
danger	threat	N	8.78	2.68	2.52	2	0.28	0	1.56
god	priest	N	4.5	2.07	4.77	2	0.28	0	1.2
men	fraternity	N	3.13	4.75	2.46	2	0.28	0	1.11
buddy	companion	N	8.65	3.48	3.75	2	0.28	0	1.64
teacher	helper	N	4.28	4.52	3.39	3	0.28	0	1.65
body	stomach	N	3.93	4.79	4.89	4	0.28	0	1.15
tongue	throat	N	3.1	4.93	4.97	4	0.28	0	1.31
house	carpet	N	1.38	5	4.96	4	0.28	0	1.44
intelligence	skill	N	5.35	2.24	2.17	1	0.27	0	1.29
journey	conquest	N	4.72	2.57	2.54	1	0.27	0	1.12
god	prey	N	1.23	2.07	3.61	2	0.27	0	1.73
brother	soul	N	0.97	4.43	1.86	2	0.27	0	1.18
adversary	opponent	N	9.05	2.93	3.52	2	0.27	0	1.4
death	catastrophe	N	4.13	3.73	2.96	2	0.27	0	1.46
monster	demon	N	6.95	3.72	3.32	2	0.27	0	1.5
day	morning	N	4.87	3.92	3.44	2	0.27	0	1.95
man	victor	N	1.9	4.79	2.88	3	0.27	0	1.67
friend	guy	N	3.88	3.07	4.68	3	0.27	0	1.49
song	story	N	3.97	4.46	3.3	3	0.27	0	1.27
ray	sunshine	N	6.83	3.57	4.21	3	0.27	0	1.55
guy	stud	N	5.83	4.68	4	3	0.27	0	1.7
chicken	rice	N	1.43	4.8	4.86	4	0.27	0	1.47
box	elevator	N	1.32	4.9	4.79	4	0.27	0	1.28
butter	potato	N	1.22	4.9	4.85	4	0.27	0	1.19
apartment	furniture	N	1.28	4.9	4.89	4	0.27	0	1.72
lake	swamp	N	4.92	4.88	4.96	4	0.27	0	1.6
salad	vinegar	N	1.13	4.97	4.89	4	0.27	0	1.65
flower	bulb	N	4.48	5	4.93	4	0.27	0	1.27
cloud	mist	N	6.67	4.54	4.51	3	0.26	0	1.43
driver	pilot	N	6.28	4.71	4.67	3	0.26	0	1.52
sugar	honey	N	5.13	4.87	4.88	4	0.26	0	1.07
body	shoulder	N	2.88	4.79	4.93	4	0.25	0	1.47
idea	image	N	3.55	1.61	3.85	2	0.24	0	1.47
father	brother	N	4.2	4.52	4.43	3	0.24	0	1.28
moon	planet	N	5.87	4.9	4.58	4	0.24	0	1.57
ball	costume	N	2.32	5	4.57	4	0.24	0	1.02
rail	fence	N	5.22	4.9	4.82	4	0.24	0	1.17
room	bed	N	2.35	4.79	5	4	0.24	0	1.31
flower	bush	N	4.25	5	4.9	4	0.24	0	1.66
bone	knee	N	4.17	4.9	5	4	0.24	0	1.64
arm	knee	N	2.75	4.96	5	4	0.24	0	0.59
bottom	side	N	2.63	4.25	3.68	3	0.22	0	1.51
vessel	vein	N	5.15	4.66	4.63	3	0.22	0	1.55
cat	rabbit	N	2.37	4.86	4.93	4	0.22	0	1.67
meat	sandwich	N	2.35	4.9	4.9	4	0.22	0	1.69
belief	concept	N	5.08	1.19	1.41	1	0.21	0	1.44
intelligence	insight	N	5.9	2.24	1.72	1	0.21	0	1.59
attention	interest	N	7.22	2.3	1.8	1	0.21	0	1.21
attitude	confidence	N	4.35	1.97	2.17	1	0.21	0	1.22
right	justice	N	7.05	3.47	1.45	1	0.21	0	1.52
argument	agreement	N	1.45	2.85	2.22	1	0.21	0	1.36
depth	magnitude	N	6.12	3.11	2.43	2	0.21	0	1.64
medium	news	N	3.65	3	3.41	2	0.21	0	1.3
winner	candidate	N	2.78	3.21	3.81	2	0.21	0	1.29
birthday	date	N	5.08	3.2	3.9	2	0.21	0	1.2
fee	payment	N	7.15	3.89	3.91	3	0.21	0	1.56
bible	hymn	N	5.15	4.61	4.04	3	0.21	0	1.08
exit	doorway	N	5.5	3.93	4.75	3	0.21	0	1.73
man	sentry	N	3.25	4.79	4.04	3	0.21	0	1.22
aisle	hall	N	6.35	4.35	4.67	3	0.21	0	0.96
whiskey	gin	N	6.28	4.74	4.46	3	0.21	0	1.14
blood	marrow	N	3.4	4.86	4.48	3	0.21	0	1.17
oil	mink	N	1.23	4.93	4.58	4	0.21	0	1.53
floor	deck	N	5.55	4.8	4.77	4	0.21	0	1.06
roof	floor	N	2.62	4.79	4.8	4	0.21	0	1.66
door	floor	N	1.67	4.81	4.8	4	0.21	0	0.39
shoulder	head	N	3.42	4.93	4.75	4	0.21	0	1.14
wagon	carriage	N	7.7	4.89	4.86	4	0.21	0	1.84
car	carriage	N	5.13	4.89	4.86	4	0.21	0	1.2
elbow	ankle	N	3.13	5	4.81	4	0.21	0	1.48
wealth	fame	N	4.02	2.63	1.96	1	0.2	0	1.1
sorrow	shame	N	4.77	2.36	2.24	1	0.2	0	1.52
administration	management	N	7.25	2.78	2.72	2	0.2	0	1.67
communication	conversation	N	8.02	2.9	3.28	2	0.2	0	0.88
pollution	atmosphere	N	4.25	3.75	3.04	2	0.2	0	0.98
anatomy	biology	N	5.33	3.59	3.48	2	0.2	0	1.37
college	profession	N	3.12	4.62	2.83	3	0.2	0	1.41
book	topic	N	2.07	4.9	2.59	3	0.2	0	1.22
formula	equation	N	7.95	4.11	3.65	3	0.2	0	0.56
book	information	N	5	4.9	2.87	3	0.2	0	1.13
boy	partner	N	1.9	4.76	3.53	3	0.2	0	1.54
sky	universe	N	4.68	4.45	3.85	3	0.2	0	1.39
population	people	N	7.68	3.64	4.82	3	0.2	0	0.8
college	class	N	4.13	4.62	3.85	3	0.2	0	1.16
chief	mayor	N	4.85	4.26	4.37	3	0.2	0	1.25
rabbi	minister	N	7.62	4.64	4.22	3	0.2	0	1.35
meter	inch	N	5.08	4.7	4.37	3	0.2	0	1.19
polyester	cotton	N	5.63	4.12	4.97	3	0.2	0	1.53
lawyer	banker	N	1.88	4.7	4.43	3	0.2	0	1.18
violin	instrument	N	6.58	4.96	4.27	3	0.2	0	1.39
camp	cabin	N	4.2	4.35	4.92	3	0.2	0	1.2
pot	appliance	N	2.53	4.81	4.57	3	0.2	0	1.26
linen	fabric	N	7.47	4.8	4.63	3	0.2	0	1.26
whiskey	champagne	N	5.33	4.74	4.82	4	0.2	0	1.29
girl	child	N	5.38	4.85	4.78	4	0.2	0	1.21
cottage	cabin	N	7.72	4.85	4.92	4	0.2	0	1.47
bird	hen	N	7.03	5	4.9	4	0.2	0	1.43
racket	noise	N	8.1	4.26	3.52	3	0.19	0	1.49
sunset	evening	N	5.98	4.54	3.26	3	0.19	0	1.35
drizzle	rain	N	9.17	4.21	4.97	3	0.19	0	0.39
adult	baby	N	2.22	4.4	5	3	0.19	0	0.39
charcoal	coal	N	7.63	4.85	4.66	4	0.19	0	1.43
body	spine	N	4.78	4.79	4.88	4	0.19	0	1.22
head	nail	N	2.47	4.75	4.93	4	0.19	0	1.4
log	timber	N	8.05	4.96	4.9	4	0.19	0	1.12
spoon	cup	N	2.02	4.96	5	4	0.19	0	0.9
body	nerve	N	3.13	4.79	3.89	3	0.18	0	1.12
man	husband	N	5.32	4.79	4.11	3	0.18	0	1.71
bone	neck	N	2.53	4.9	5	4	0.18	0	1.05
frustration	anger	N	6.5	2.06	2.41	1	0.17	0	0.39
river	sea	N	5.72	4.89	4.79	4	0.17	0	0.39
task	job	N	8.87	2.84	3.19	2	0.16	0	1.75
club	society	N	5.23	3.78	2.54	2	0.16	0	1.59
reflection	image	N	7.27	3.29	3.85	2	0.16	0	1.06
prince	king	N	5.92	4.44	4.1	3	0.16	0	1.05
snow	weather	N	5.48	4.85	3.83	3	0.16	0	1.36
people	party	N	2.2	4.82	3.89	3	0.16	0	1.42
boy	brother	N	6.67	4.76	4.43	3	0.16	0	1.58
root	grass	N	3.55	4.34	4.93	3	0.16	0	1.35
brow	eye	N	3.82	4.39	4.9	3	0.16	0	1.41
money	pearl	N	2.1	4.54	4.87	3	0.16	0	1.94
money	diamond	N	3.42	4.54	4.89	3	0.16	0	1.37
vehicle	bus	N	6.47	4.64	4.9	4	0.16	0	1.38
cab	bus	N	5.6	4.88	4.9	4	0.16	0	1.64
house	barn	N	4.33	5	4.79	4	0.16	0	1.6
finger	palm	N	3.33	5	4.83	4	0.16	0	1.5
car	bridge	N	0.95	4.89	4.97	4	0.16	0	1.2
effort	difficulty	N	4.45	2.33	1.9	1	0.15	0	1.22
fact	insight	N	4.77	2.72	1.72	1	0.15	0	1.11
job	management	N	3.97	3.19	2.72	2	0.15	0	1.33
cancer	sickness	N	7.93	3.86	3.45	2	0.15	0	1.57
word	newspaper	N	2.47	3.56	4.82	3	0.15	0	0.94
composer	writer	N	6.58	4.37	4.32	3	0.15	0	0.8
actor	singer	N	4.52	4.57	4.62	3	0.15	0	1.26
shelter	hut	N	6.47	4.64	4.65	3	0.15	0	1.59
bathroom	kitchen	N	3.1	4.52	4.97	4	0.15	0	1.22
cabin	hut	N	6.53	4.92	4.65	4	0.15	0	1.37
door	kitchen	N	1.67	4.81	4.97	4	0.15	0	0.44
value	belief	N	7.07	1.62	1.19	1	0.14	0	0.95
wisdom	intelligence	N	7.47	1.53	2.24	1	0.14	0	1.33
ignorance	intelligence	N	1.5	1.6	2.24	1	0.14	0	1.3
happiness	luck	N	2.38	2.6	1.33	1	0.14	0	1.2
idea	scheme	N	6.75	1.61	2.41	1	0.14	0	1.47
mood	emotion	N	8.12	1.75	2.44	1	0.14	0	1.64
happiness	peace	N	6.03	2.6	1.62	1	0.14	0	1.35
despair	misery	N	7.22	2.21	2.04	1	0.14	0	1.06
logic	arithmetic	N	3.97	1.72	2.74	1	0.14	0	1.81
denial	confession	N	1.03	2.46	2.4	1	0.14	0	1.64
argument	criticism	N	5.08	2.85	2.07	1	0.14	0	1.07
aggression	hostility	N	8.48	2.68	2.24	1	0.14	0	0.44
hysteria	confusion	N	6.33	2.86	2.24	1	0.14	0	0.44
chemistry	theory	N	3.17	3.64	1.47	1	0.14	0	1.4
trial	verdict	N	3.33	3.07	2.19	2	0.14	0	1.18
comfort	safety	N	5.8	2.89	2.37	2	0.14	0	1.21
confidence	self	N	3.12	2.17	3.1	2	0.14	0	1.24
vision	perception	N	6.88	3.39	2	2	0.14	0	1.31
era	decade	N	5.4	2.24	3.19	2	0.14	0	1.02
biography	fiction	N	1.38	3.39	2.14	2	0.14	0	1.24
discussion	argument	N	5.48	3.07	2.85	2	0.14	0	1.43
code	symbol	N	6.03	3	3.11	2	0.14	0	1.67
danger	disease	N	3	2.68	3.45	2	0.14	0	0.44
accident	catastrophe	N	5.9	3.26	2.96	2	0.14	0	1.63
journey	trip	N	8.88	2.57	3.71	2	0.14	0	1.14
activity	movement	N	7.15	2.72	3.63	2	0.14	0	1.1
gossip	news	N	5.22	3	3.41	2	0.14	0	1.21
father	god	N	3.57	4.52	2.07	2	0.14	0	1.31
action	course	N	5.45	2.86	3.82	2	0.14	0	1.75
fever	illness	N	7.65	3.27	3.54	2	0.14	0	1.54
aviation	flight	N	8.18	3.39	3.9	2	0.14	0	1.83
game	action	N	4.85	4.5	2.86	2	0.14	0	1.12
molecule	air	N	3.05	3.27	4.11	2	0.14	0	1.84
home	state	N	2.58	4.11	3.52	3	0.14	0	1.6
word	literature	N	4.77	3.56	4.1	3	0.14	0	0.59
adult	guardian	N	6.9	4.4	3.28	3	0.14	0	1.19
newspaper	information	N	5.65	4.82	2.87	3	0.14	0	1.31
communication	television	N	5.6	2.9	4.83	3	0.14	0	1.27
cousin	uncle	N	4.63	3.7	4.24	3	0.14	0	1.84
author	reader	N	1.6	4.26	3.89	3	0.14	0	1.47
guy	partner	N	3.57	4.68	3.53	3	0.14	0	1.24
area	corner	N	2.07	3.72	4.61	3	0.14	0	1.41
ballad	song	N	7.53	3.88	4.46	3	0.14	0	0.84
wall	decoration	N	2.62	4.86	3.53	3	0.14	0	0.89
word	page	N	2.92	3.56	4.9	3	0.14	0	0.99
nurse	scientist	N	2.08	4.39	4.24	3	0.14	0	1.06
politician	president	N	7.38	4.33	4.4	3	0.14	0	1.05
president	mayor	N	5.68	4.4	4.37	3	0.14	0	1.4
book	essay	N	4.72	4.9	3.97	3	0.14	0	1.3
man	warrior	N	4.72	4.79	4.17	3	0.14	0	1.03
article	journal	N	6.18	4.33	4.63	3	0.14	0	1.45
breakfast	supper	N	4.4	4.43	4.63	3	0.14	0	1.47
crowd	parade	N	3.93	4.52	4.54	3	0.14	0	1.05
aisle	hallway	N	6.75	4.35	4.74	3	0.14	0	1.36
teacher	rabbi	N	4.37	4.52	4.64	3	0.14	0	1.12
hip	lip	N	1.43	4.21	4.96	3	0.14	0	1.45
book	article	N	5.43	4.9	4.33	3	0.14	0	0.95
room	cell	N	4.58	4.79	4.44	3	0.14	0	1.28
box	booth	N	3.8	4.9	4.42	3	0.14	0	1.38
daughter	kid	N	4.17	4.79	4.56	3	0.14	0	1.24
limb	leg	N	6.9	4.64	4.83	4	0.14	0	1.23
liver	lung	N	2.7	4.68	4.82	4	0.14	0	1.38
classroom	hallway	N	2	4.76	4.74	4	0.14	0	1.23
mountain	ledge	N	3.73	4.96	4.72	4	0.14	0	1.21
car	elevator	N	1.03	4.89	4.79	4	0.14	0	1.19
bed	couch	N	3.42	5	4.71	4	0.14	0	1.85
clothes	button	N	2.3	4.76	4.96	4	0.14	0	1.44
clothes	coat	N	5.35	4.76	4.97	4	0.14	0	1.37
kidney	organ	N	6.17	4.96	4.77	4	0.14	0	0.95
apple	sauce	N	1.43	5	4.75	4	0.14	0	2.11
chicken	steak	N	3.73	4.8	4.96	4	0.14	0	1.39
car	hose	N	0.87	4.89	4.87	4	0.14	0	0.78
tobacco	cigarette	N	7.5	4.88	4.88	4	0.14	0	1.49
student	professor	N	1.95	4.92	4.86	4	0.14	0	1.13
baby	daughter	N	5	5	4.79	4	0.14	0	1.29
pipe	cigar	N	6.03	4.88	4.93	4	0.14	0	1.01
milk	juice	N	4.05	4.92	4.89	4	0.14	0	1.46
box	cigar	N	1.25	4.9	4.93	4	0.14	0	1.89
apartment	hotel	N	3.33	4.9	4.93	4	0.14	0	1.18
cup	cone	N	3.17	5	4.86	4	0.14	0	1.13
horse	ox	N	3.02	5	4.86	4	0.14	0	1.18
throat	nose	N	2.8	4.97	4.89	4	0.14	0	1.12
bone	teeth	N	4.17	4.9	4.96	4	0.14	0	1.92
bone	elbow	N	3.78	4.9	5	4	0.14	0	1.58
bacon	bean	N	1.22	4.9	5	4	0.14	0	0.92
cup	jar	N	5.13	5	5	4	0.14	0	1.17
proof	fact	N	7.3	2.67	2.72	2	0.13	0	1.7
appointment	engagement	N	6.75	3	2.75	2	0.13	0	1.59
birthday	year	N	1.67	3.2	3.25	2	0.13	0	1.69
word	clue	N	2.53	3.56	2.93	2	0.13	0	1.65
author	creator	N	8.02	4.26	3.07	2	0.13	0	1.5
atom	carbon	N	3.1	3.34	4.22	3	0.13	0	0.93
archbishop	bishop	N	7.05	4.14	4.21	3	0.13	0	1.59
letter	paragraph	N	4	4.7	3.96	3	0.13	0	1.12
page	paragraph	N	3.03	4.9	3.96	3	0.13	0	1.37
steeple	chapel	N	7.08	4.74	4.6	3	0.13	0	1.03
muscle	bone	N	3.65	4.5	4.9	3	0.13	0	1.68
muscle	tongue	N	5	4.5	4.93	3	0.13	0	1.65
boy	soldier	N	2.15	4.76	4.72	4	0.13	0	1.51
belly	abdomen	N	8.13	4.8	4.7	4	0.13	0	1.53
guy	girl	N	3.33	4.68	4.85	4	0.13	0	1.9
bed	chair	N	3.5	5	4.58	4	0.13	0	1.26
clothes	jacket	N	5.15	4.76	4.86	4	0.13	0	0.74
gun	knife	N	3.65	4.83	4.9	4	0.13	0	1.03
tin	metal	N	5.63	4.87	4.87	4	0.13	0	1.15
bottle	container	N	7.93	4.91	4.85	4	0.13	0	1.38
hen	turkey	N	6.13	4.9	4.89	4	0.13	0	1.6
meat	bread	N	1.67	4.9	4.92	4	0.13	0	1.62
arm	bone	N	3.83	4.96	4.9	4	0.13	0	1.94
neck	spine	N	5.32	5	4.88	4	0.13	0	1.16
apple	lemon	N	4.05	5	5	4	0.13	0	1.58
agony	grief	N	7.63	2.38	2.7	1	0.12	0	1.94
assignment	task	N	8.7	3.86	2.84	2	0.12	0	1.37
night	dawn	N	2.95	4.52	4.46	3	0.12	0	1.53
dinner	soup	N	3.72	4.5	4.72	3	0.12	0	1.89
calf	bull	N	4.93	4.48	4.85	3	0.12	0	1.67
snow	storm	N	4.8	4.85	4.7	4	0.12	0	0.88
nail	hand	N	3.42	4.93	4.72	4	0.12	0	1.14
dog	horse	N	2.38	4.85	5	4	0.12	0	1.39
arm	neck	N	1.58	4.96	5	4	0.12	0	0.72
ball	glove	N	1.75	5	4.97	4	0.12	0	1.27
flu	fever	N	6.08	3.65	3.27	2	0.11	0	1.58
fee	salary	N	3.72	3.89	3.69	3	0.11	0	1.26
nerve	brain	N	3.88	3.89	4.69	3	0.11	0	1.74
beast	animal	N	7.83	4.63	4.61	3	0.11	0	1.64
dinner	chicken	N	2.85	4.5	4.8	3	0.11	0	1.5
girl	maid	N	2.93	4.85	4.64	4	0.11	0	0.9
child	boy	N	5.75	4.78	4.76	4	0.11	0	1.82
alcohol	wine	N	7.42	4.76	4.79	4	0.11	0	1.53
nose	mouth	N	3.73	4.89	4.74	4	0.11	0	1.5
street	car	N	2.38	4.75	4.89	4	0.11	0	1.16
bell	door	N	2.2	4.96	4.81	4	0.11	0	1.46
box	hat	N	1.3	4.9	4.88	4	0.11	0	1.15
belief	impression	N	5.95	1.19	2.23	1	0.1	0	0.72
bias	opinion	N	5.6	1.68	1.93	1	0.1	0	1.16
attention	awareness	N	8.73	2.3	1.84	1	0.1	0	1.64
anger	mood	N	4.1	2.41	1.75	1	0.1	0	1.87
elegance	style	N	5.72	2.18	2.67	1	0.1	0	1.76
beauty	age	N	1.58	2.93	2.86	2	0.1	0	1.54
book	theme	N	2.58	4.9	2.72	3	0.1	0	0.81
friend	mother	N	2.53	3.07	4.6	3	0.1	0	1.54
vitamin	iron	N	5.55	4.48	4.59	3	0.1	0	1.14
car	factory	N	2.75	4.89	4.76	4	0.1	0	1.43
pact	condition	N	2.45	2.52	2.15	1	0	0	1.59
chapter	choice	N	0.48	3.43	1.9	2	0	0	0.86
arithmetic	rhythm	N	2.35	2.74	3.07	2	0	0	2.08
winner	presence	N	1.08	3.21	2.72	2	0	0	1.12
belief	flower	N	0.4	1.19	5	2	0	0	1.19
winner	goal	N	3.23	3.21	3.06	2	0	0	1.67
trick	size	N	0.48	3.36	3.13	2	0	0	0.59
choice	vein	N	0.98	1.9	4.63	2	0	0	1.11
hymn	conquest	N	0.68	4.04	2.54	2	0	0	0.88
endurance	band	N	0.4	2	4.68	2	0	0	0.44
jail	choice	N	1.08	4.83	1.9	2	0	0	1.08
condition	boy	N	0.48	2.15	4.76	2	0	0	0.8
flower	endurance	N	0.4	5	2	2	0	0	1.7
hole	agreement	N	0.3	4.81	2.22	2	0	0	1.72
doctor	temper	N	0.48	4.69	2.56	2	0	0	1.44
fraternity	door	N	0.68	2.46	4.81	2	0	0	0.94
task	woman	N	0.68	2.84	4.46	2	0	0	0.34
fraternity	baseball	N	0.88	2.46	4.86	2	0	0	0.98
cent	size	N	0.4	4.19	3.13	2	0	0	1.24
presence	door	N	0.48	2.72	4.81	3	0	0	0.83
mouse	management	N	0.48	4.83	2.72	3	0	0	1.59
task	highway	N	0.48	2.84	4.72	3	0	0	1.34
liquor	century	N	0.4	4.73	2.83	3	0	0	1.31
task	straw	N	0.68	2.84	4.77	3	0	0	1.53
island	task	N	0.3	4.96	2.84	3	0	0	0.96
night	chapter	N	0.48	4.52	3.43	3	0	0	0.92
pollution	president	N	0.68	3.75	4.4	3	0	0	1.6
gun	trick	N	0.48	4.83	3.36	3	0	0	1.41
bath	trick	N	0.58	4.85	3.36	3	0	0	1.28
diet	apple	N	1.18	3.21	5	3	0	0	1.56
cent	wife	N	0.58	4.19	4.13	3	0	0	1.7
chapter	tail	N	0.3	3.43	4.96	3	0	0	1.57
course	stomach	N	0.58	3.82	4.89	3	0	0	0.87
hymn	straw	N	0.4	4.04	4.77	3	0	0	1.64
dentist	colonel	N	0.4	4.93	3.89	3	0	0	1.7
wife	straw	N	0.4	4.13	4.77	3	0	0	1.53
hole	wife	N	0.68	4.81	4.13	3	0	0	1.18
pupil	president	N	0.78	4.55	4.4	3	0	0	1.28
bath	wife	N	0.48	4.85	4.13	3	0	0	1.42
people	cent	N	0.48	4.82	4.19	3	0	0	1.61
formula	log	N	1.77	4.11	4.96	3	0	0	1.51
woman	fur	N	0.58	4.46	4.69	3	0	0	0.99
apple	sunshine	N	0.58	5	4.21	3	0	0	1.2
gun	dawn	N	1.18	4.83	4.46	3	0	0	1.57
meal	waist	N	0.98	4.62	4.72	3	0	0	1.58
camera	president	N	0.48	5	4.4	3	0	0	1.56
liquor	band	N	0.68	4.73	4.68	3	0	0	0.91
stomach	vein	N	2.35	4.89	4.63	4	0	0	1.2
gun	fur	N	0.3	4.83	4.69	4	0	0	1.8
couch	baseball	N	0.88	4.71	4.86	4	0	0	1.32
worker	camera	N	0.68	4.59	5	4	0	0	1.21
deck	mouse	N	0.48	4.77	4.83	4	0	0	1.48
rice	boy	N	0.4	4.86	4.76	4	0	0	1.72
people	gun	N	0.68	4.82	4.83	4	0	0	1.47
cliff	tail	N	0.3	4.71	4.96	4	0	0	1.57
ankle	window	N	0.3	4.81	4.86	4	0	0	1.8
princess	island	N	0.3	4.72	4.96	4	0	0	1.36
container	mouse	N	0.3	4.85	4.83	4	0	0	0.95
wagon	container	N	2.65	4.89	4.85	4	0	0	0.85
people	balloon	N	0.48	4.82	4.92	4	0	0	1.96
dollar	people	N	0.4	4.93	4.82	4	0	0	1.42
bath	balloon	N	0.4	4.85	4.92	4	0	0	1.41
stomach	bedroom	N	0.4	4.89	4.9	4	0	0	0.97
bicycle	bedroom	N	0.4	4.89	4.9	4	0	0	1.47
log	bath	N	0.4	4.96	4.85	4	0	0	1.63
bowl	tail	N	0.48	4.87	4.96	4	0	0	1
go	come	V	2.42	3.15	2.72	2	5.75	1	1.51
take	steal	V	6.18	3.06	3.84	2	3.28	1	1.69
listen	hear	V	8.17	3.47	3.66	2	3.22	1	1.72
think	rationalize	V	8.25	2.41	1.52	1	3.17	1	1.13
occur	happen	V	9.32	1.84	1.78	1	2.87	1	1.34
vanish	disappear	V	9.8	2.77	2.86	2	2.76	1	0.46
multiply	divide	V	1.75	2.79	2.86	2	2.53	1	1.32
plead	beg	V	9.08	2.59	2.96	2	2.5	1	1.26
begin	originate	V	8.2	2.56	2.23	1	2.44	1	0.75
protect	defend	V	9.13	2.86	2.31	1	2.28	1	1.29
kill	destroy	V	5.9	3.9	3.08	2	2	1	1.93
create	make	V	8.72	2.62	2.67	2	1.72	1	1.14
accept	reject	V	0.83	3.03	2.4	2	1.69	1	1.28
ignore	avoid	V	6.87	2.22	2.41	1	1.56	1	1.22
carry	bring	V	5.8	4.04	2.55	2	1.37	1	1.24
leave	enter	V	0.95	2.53	3.12	2	1.3	1	1.91
choose	elect	V	7.62	2.62	2.41	1	1.28	1	1.14
lose	fail	V	7.33	2.25	3	2	1.28	1	1.79
encourage	discourage	V	1.58	2.61	1.9	1	1.23	1	1.55
achieve	accomplish	V	8.57	2.29	2.33	1	1.22	1	0.94
make	construct	V	8.33	2.67	2.6	2	1.2	1	0.85
listen	obey	V	4.93	3.47	2.67	2	1.19	1	1.33
inform	notify	V	9.25	2.25	3.04	2	1.15	1	0.44
receive	give	V	1.47	2.69	2.83	2	1.11	1	1.19
borrow	beg	V	2.62	3.1	2.96	2	1	1	1.89
take	obtain	V	7.1	3.06	3	2	0.9	1	1.01
advise	recommend	V	8.1	2.03	1.74	1	0.89	1	1.6
imitate	portray	V	6.75	2.66	2.18	1	0.89	1	1.13
win	succeed	V	7.9	2.67	2.33	1	0.89	1	1.83
think	decide	V	5.13	2.41	1.92	1	0.88	1	1.4
greet	meet	V	6.17	2.96	3	2	0.83	1	1.73
agree	argue	V	0.77	2.31	2.75	1	0.81	1	1.68
enjoy	entertain	V	5.92	2.29	2.55	1	0.79	1	1.27
destroy	make	V	1.6	3.08	2.67	2	0.78	1	1.72
save	protect	V	6.58	2.42	2.86	2	0.74	1	0.44
give	lend	V	7.22	2.83	3.07	2	0.72	1	0.93
understand	know	V	7.47	2.28	1.68	1	0.71	1	1.26
take	receive	V	5.08	3.06	2.69	2	0.7	1	0.48
accept	acknowledge	V	6.88	3.03	2.03	1	0.69	1	1.63
decide	choose	V	8.87	1.92	2.62	1	0.67	1	1.26
accept	believe	V	6.75	3.03	1.55	1	0.67	1	1.61
keep	possess	V	8.27	2.37	2.6	1	0.62	1	0.8
roam	wander	V	8.83	2.85	2.28	1	0.61	1	0.89
succeed	fail	V	0.83	2.33	3	2	0.61	1	1.44
spend	save	V	0.55	2.93	2.42	2	0.61	1	1.06
leave	go	V	7.63	2.53	3.15	2	0.61	1	1.49
come	attend	V	8.1	2.72	3.17	2	0.61	1	1.6
know	believe	V	5.5	1.68	1.55	1	0.6	1	1.18
gather	meet	V	7.3	2.75	3	2	0.55	1	0.59
make	earn	V	7.62	2.67	2.39	1	0.54	1	1.92
forget	ignore	V	3.07	2.04	2.22	1	0.5	1	1.25
multiply	add	V	2.7	2.79	3	2	0.5	1	1.8
shrink	grow	V	0.23	3.55	3.03	2	0.5	1	1.2
arrive	leave	V	1.33	3.22	2.53	2	0.49	1	1.48
succeed	try	V	3.98	2.33	2.22	1	0.48	1	1.35
accept	deny	V	1.75	3.03	2.2	2	0.48	1	1.41
arrive	come	V	7.05	3.22	2.72	2	0.48	1	1.56
agree	differ	V	1.05	2.31	1.59	1	0.42	0	1.53
send	receive	V	1.08	2.7	2.69	2	0.42	0	1.53
win	dominate	V	5.68	2.67	2.12	1	0.41	0	1.74
add	divide	V	2.3	3	2.86	2	0.41	0	1.25
kill	choke	V	4.92	3.9	3.97	3	0.41	0	1.48
acquire	get	V	8.82	2.93	2.38	2	0.39	0	0.94
participate	join	V	7.7	2.59	2.86	2	0.39	0	1.69
leave	remain	V	2.53	2.53	1.96	1	0.34	0	1.36
go	enter	V	4	3.15	3.12	2	0.34	0	1.43
take	carry	V	5.23	3.06	4.04	2	0.34	0	0.44
forget	learn	V	1.18	2.04	2.2	1	0.33	0	1.65
appoint	elect	V	8.17	2.24	2.41	1	0.33	0	1.51
engage	marry	V	5.43	2.07	3.03	1	0.33	0	1.12
ask	pray	V	3.72	2.52	3.21	2	0.33	0	1.63
go	send	V	3.75	3.15	2.7	2	0.33	0	0.77
take	deliver	V	4.37	3.06	3.12	2	0.33	0	1.16
speak	hear	V	3.02	3.7	3.66	2	0.33	0	0.76
analyze	evaluate	V	8.03	2.3	1.85	1	0.28	0	0.49
argue	rationalize	V	4.2	2.75	1.52	1	0.28	0	1.21
lose	keep	V	1.05	2.25	2.37	1	0.28	0	1.57
compare	analyze	V	8.1	2.52	2.3	1	0.28	0	0.84
disorganize	organize	V	1.45	2.44	2.72	1	0.28	0	1.3
go	allow	V	3.62	3.15	2.41	2	0.28	0	1.53
take	possess	V	7.2	3.06	2.6	2	0.28	0	1.14
learn	listen	V	3.88	2.2	3.47	2	0.28	0	1.65
destroy	construct	V	0.92	3.08	2.6	2	0.28	0	1.78
create	build	V	8.48	2.62	3.71	2	0.28	0	1.14
steal	buy	V	1.13	3.84	3.35	2	0.28	0	0.95
kill	hang	V	4.45	3.9	3.7	3	0.28	0	1.43
forget	know	V	0.92	2.04	1.68	1	0.27	0	1.6
create	imagine	V	5.13	2.62	1.53	1	0.27	0	1.7
do	happen	V	4.23	2.46	1.78	1	0.27	0	1.02
win	accomplish	V	7.85	2.67	2.33	1	0.27	0	0.8
give	deny	V	1.43	2.83	2.2	1	0.27	0	1.36
